04 15 WHaus Eckstr;Stadthaus,Mehrfamilienhaus,DachBraun,FassadeBeige
04 15 WHaus Leo;Stadthaus,Mehrfamilienhaus,FassadeZiegel,MitGarage
04 17 Wh Leo71 d;Reihenhaus,Zweifamilienhaus,DachRot,FassadeGrau
04 17 Wh Leo71 e;Stadthaus,Reihenhaus,DachRot,FassadeGrau
04 17 Wh Leo73 c;Reihenhaus,Stadthaus,Gewerbe,DachBraun,FassadeWeiss
04 17 Wh Leo75 b;Gewerbe,FassadeZiegel,DachBraun
04 17 Wh Leo77 a;Mehrfamilienhaus,Stadthaus,FassadeGelb,FassadeVerziert,DachBraun
04 18 Gara Hof;Garage
04 20 Capitol;Stadthaus,Hochhaus,Gewerbe
04 21 Bue Schalthaus;Schalthaus
04 22 Kiosk;Kiosk,Gewerbe
04 23 Trafohaus;Trafostation
04 24 WHaus a;Stadthaus,Reihenhaus,Mehrfamilienhaus,DachRot,FassadeGrau
04 24 WHaus b;Stadthaus,Mehrfamilienhaus,Reihenhaus,DachBraun,FassadeGrau
04 25 WHaus;Stadthaus,Mehrfamilienhaus,Hochhaus,FassadeBeige
04 26 WHaus;Mehrfamilienhaus,FassadeGrau,DachRot
04 27 WHaus;Mehrfamilienhaus,Stadthaus,Reihenhaus
04 28 WHaus;Stadthaus,Hochhaus,Reihenhaus,FassadeGrau
04 29 WHaus;Stadthaus,Reihenhaus,Mehrfamilienhaus
04 30 WHaus;Stadthaus,Mehrfamilienhaus,Gewerbe,DachBraun
04 31 WHaus 45;Gewerbe,Mehrfamilienhaus,Reihenhaus,DachBraun
04 31 WHaus 47;Mehrfamilienhaus,Reihenhaus,Eckhaus,DachRot,FassadeGrau
04 32 WHaus Leo 69;Reihenhaus,Stadthaus,Mehrfamilienhaus,DachSchwarz,FassadeSchwarz
04 32 WHaus Leo 71;Mehrfamilienhaus,Reihenhaus,Eckhaus,Stadthaus,DachSchwarz,FassadeGrau
04 33 WHaus Leo 65;Mehrfamilienhaus,Reihenhaus,Stadthaus,DachGrau,FassadeGrau
04 34 WHaus Leo 59;Zweifamilienhaus,Reihenhaus,FassadeBeige,DachBraun
04 34 WHaus Leo 61;Zweifamilienhaus,DachBraun,FassadeBeige
04 35 Whaus Leo 51;Mehrfamilienhaus,Stadthaus,DachRot
04 35 Whaus Leo 53;Mehrfamilienhaus,DachBraun,FassadeGrau,MitBalkon
04 35 Whaus Leo 55;Mehrfamilienhaus,DachBraun,FassadeBraun,MitBalkon
04 35 Whaus Leo 57;Mehrfamilienhaus,DachBraun,FassadeGrau
04 50 WH Franz 1 3;Mehrfamilienhaus,Stadthaus,Reihenhaus
04 51 WH Franz 4 6;Mehrfamilienhaus,Reihenhaus,Stadthaus
04 52 WH Franz 7 9;Mehrfamilienhaus,Stadthaus,Reihenhaus,DachRot,FassadeGrau
05 02 Wh Hp Kasseler Tor;Stadthaus,Eckhaus,FassadeBraun,DachBraun
05 03 WHaus;Mehrfamilienhaus,DachBraun,FassadeBeige
05 04 WHaus;Mehrfamilienhaus,DachBraun,FassadeWeiss
05 05 WHaus;Zweifamilienhaus,MitGarage,DachBraun,FassadeGrau
05 06 Mutterhaus;Schloss,Kloster
05 07 LWL Verwaltung;Schloss,Büro
05 08 LWL Schule;Schule,Büro,Hochhaus,Stadthaus
06 01 WGHaus;Gewerbe,Mehrfamilienhaus,Stadthaus,Hochhaus
06 02 WHaus;Stadthaus,Mehrfamilienhaus,Reihenhaus,DachBraun,FassadeBeige
06 03 WHaus;Mehrfamilienhaus,Stadthaus,Reihenhaus,FassadeBlau,DachSchwarz
06 04 Bus PP;Parkplatz
06 04 Kapelle;Kapelle
06 04 P Platz;Parkplatz
06 04 WHaus;Reihenhaus,Stadthaus,Mehrfamilienhaus,DachSchwarz
06 05 WHaus;Gewerbe,Mehrfamilienhaus,Hochhaus,Flachdach
06 06 WHaus;Reihenhaus,Stadthaus,Mehrfamilienhaus,DachBraun,FassadeGrau
06 07 WHaus;Reihenhaus,Eckhaus,Stadthaus,Mehrfamilienhaus,FassadeGrau,DachBraun
06 08 Konvikt;Kloster,Schule
06 09 FH beige;Stadthaus,Büro,Schule,Kloster
06 09 FH rot;Schule,Kloster
06 10 WHaus Leostr 11;Zweifamilienhaus,Reihenhaus,Stadthaus,DachRot,FassadeOrange
06 10 WHaus Leostr 13;Mehrfamilienhaus,Stadthaus,DachRot,FassadeBeige,Reihenhaus,DachBraun
06 10 WHaus Leostr 15;Mehrfamilienhaus,Stadthaus,DachBraun,FassadeBeige,Walmdach
