Hagen Gbf 32 Pausenraum;Stellwerk
Hagen Gbf 33 P-Wagen;Bahnbude,Bahnhofswagen
Hagen Gbf 34 Wagenmeister;Mehrfamilienhaus,FassadeGrau,FassadeSchiefer,DachRot,Büro,Verwaltung
Hagen Gbf Brinkstr 10er-Block;Mehrfamilienhaus,Stadthaus,Eckhaus
Hagen Gbf Brinkstr 21;Mehrfamilienhaus,Stadthaus,FassadeBeige,DachRot
Hagen Gbf Brinkstr 23;Mehrfamilienhaus,Stadthaus,FassadeBeige,DachRot
Hagen Gbf Brinkstr 25;Mehrfamilienhaus,Stadthaus,FassadeGrau,DachRot
Hagen Gbf Brinkstr 27;Mehrfamilienhaus,Stadthaus,FassadeBlau,DachBraun
Hagen Gbf Brinkstr 29 Eck;Mehrfamilienhaus,Stadthaus,FassadeGrau,FassadeGrün,DachSchwarz,Gewerbe
Hagen Gbf Brinkstr 40a;Mehrfamilienhaus,Stadthaus,Reihenhaus,FassadeGelb,DachSchwarz
Hagen Gbf Brinkstr 40b;Mehrfamilienhaus,Stadthaus,Reihenhaus,FassadeGelb,DachSchwarz
Hagen Gbf Brinkstr 40c;Mehrfamilienhaus,Stadthaus,Reihenhaus,FassadeGelb,DachSchwarz
Hagen Gbf Brinkstr 50;Mehrfamilienhaus,Stadthaus,Reihenhaus,Eckhaus,FassadeBlau,DachBraun
Hagen Gbf Brinkstr 52;Mehrfamilienhaus,Stadthaus,Reihenhaus,FassadeGrau,DachRot
Hagen Gbf Brinkstr 54;Mehrfamilienhaus,Stadthaus,Reihenhaus,FassadeGrau,DachRot
Hagen Gbf Brinkstr 56;Mehrfamilienhaus,Stadthaus,Reihenhaus,FassadeWeiss,DachBraun
Hagen Gbf Brinkstr 58;Mehrfamilienhaus,Stadthaus,Reihenhaus,Eckhaus,DachBraun,FassadeGrau
Ueberwerfung km143-8 1763gn;Überwerfungsbauwerk
AC Busdepot Bachstr;Bus,Industrie,Werkstatt,FassadeZiegel,Flachdach
AC Kurbrunnenstr18;DachBraun,DachSchwarz,FassadeZiegel,Mehrfamilienhaus,Büro,Verwaltung,Eckhaus
AC Kurbrunnenstr20;Stadthaus,Mehrfamilienhaus,Reihenhaus,FassadeBeige,FassadeWeiss,DachSchwarz
AC WH Jaegerstr2;Stadthaus,Mehrfamilienhaus,Reihenhaus,FassadeGrau,FassadeBlau,DachSchwarz
AC WH Jaegerstr4;Stadthaus,Mehrfamilienhaus,Reihenhaus,FassadeGrau,DachBraun
AC WH Jaegerstr6;Stadthaus,Mehrfamilienhaus,Reihenhaus,FassadeGrau,FassadeBeige,DachBraun
AC WH KamperStr23-25;Stadthaus,Mehrfamilienhaus,Reihenhaus,FassadeRot,FassadeGelb,DachSchwarz,Flachdach
AC WH KamperStr27;Stadthaus,Mehrfamilienhaus,Reihenhaus,FassadeZiegel,DachSchwarz
AC WH KamperStr29;Stadthaus,Mehrfamilienhaus,Reihenhaus,FassadeWeiss,FassadeZiegel,DachSchwarz,Eckhaus
AC WH Kasinostr15-17;Stadthaus,Mehrfamilienhaus,Reihenhaus,FassadeZiegel,DachRot
AC WH Kurbrunnenstr26-28;Stadthaus,Mehrfamilienhaus,Reihenhaus,FassadeGrau,FassadeWeiss,DachGrau,DachSchwarz
AC WH Mariabrunnstr44;Stadthaus,Mehrfamilienhaus,Reihenhaus,FassadeWeiss,DachSchwarz
AC WH Mariabrunnstr46;Stadthaus,Mehrfamilienhaus,Reihenhaus,FassadeWeiss,DachSchwarz
AC WH Mariabrunnstr47-49;Stadthaus,Mehrfamilienhaus,Reihenhaus,FassadeWeiss,DachSchwarz
AC WH Mariabrunnstr48;Stadthaus,Mehrfamilienhaus,Reihenhaus,FassadeWeiss,DachSchwarz,Eckhaus
AC WH Mariabrunnstr51-53;Stadthaus,Mehrfamilienhaus,Reihenhaus,FassadeZiegel,DachSchwarz
Bahnsteigabgang;Bahnsteig,Bahnsteigabgang
Industrie01 Halle80x20m;Industrie,Halle
Kurklinik Rosenquelle;Büro,Verwaltung,Krankenhaus
Umweltamt;Büro,Verwaltung
Wohnh04-3g-Gruenderzeit-L7m50-B10m;Stadthaus,Mehrfamilienhaus,Reihenhaus,FassadeWeiss,DachSchwarz
Wohnh06-3g-Gruenderzeit-L8m50-B10m;Stadthaus,Mehrfamilienhaus,Reihenhaus,FassadeGelb,DachSchwarz
Wohnh07-3g-Gruenderzeit-L17m-B10m;Stadthaus,Mehrfamilienhaus,Reihenhaus,FassadeGrau,FassadeGelb,DachSchwarz
Wohnh07-3g-Gruenderzeit-L8m50-B10m;Stadthaus,Mehrfamilienhaus,Reihenhaus,FassadeGrau,FassadeGelb,DachSchwarz
Wohnh08-3g-Gruenderzeit-Eckhaus;Stadthaus,Mehrfamilienhaus,Reihenhaus,FassadeRot,FassadeRosa,DachSchwarz,DachBraun,Eckhaus
Wohnh08-3g-Gruenderzeit-L12m-B10m;Stadthaus,Mehrfamilienhaus,Reihenhaus,FassadeRot,FassadeRosa,DachSchwarz,DachBraun
Wohnh08-3g-Gruenderzeit-L18m-B10m;Stadthaus,Mehrfamilienhaus,Reihenhaus,FassadeRot,FassadeRosa,DachSchwarz,DachBraun
Wohnh09-4g-Endhaus-L15-B10-putz-grau;Stadthaus,Mehrfamilienhaus,Reihenhaus,FassadeGrau,DachBraun
Wohnh09-4g-Endhaus-L23-B10-putz-grau;Stadthaus,Mehrfamilienhaus,Reihenhaus,FassadeGrau,DachBraun
Wohnh09-4g-L15-B10-putz-grau;Stadthaus,Mehrfamilienhaus,Reihenhaus,FassadeGrau,DachBraun
BaustelleOst;Baustelle
AKX Bahnhofsstr 3;Einfamilienhaus,FassadeZiegel,DachSchwarz
AKX Bahnhofsstrasse 1;Gewerbe,FassadeZiegel,DachSchwarz
AKX Bahnsteigschhaukasten;Bahnsteig,Fahrplanaushang,Schaukasten
AKX EG;Empfangsgebäude,FassadeZiegel,DachBraun
AKX Halle;Industrie,Halle,FassadeZiegel
AKX Katastrophenschuppen;Garage,Container
AKX UW Vogelschutz 1;Umspannwerk
AKX UW Vogelschutz 2;Umspannwerk
AKX Ueberfuehrung;Bahnsteig,Treppe
AKX Unterstand;Bahnsteig,Bahnsteigdach
AMM Ueberfuehrung;Bahnsteig,Treppe
Buhne Stein 5m Flut Ende;Küstenschutz
Faschine 130m 180m sued;Küstenschutz
Faschine 300m 370m noerdl;Küstenschutz
Faschine 300m 370m sued;Küstenschutz
Stw HDM;Stellwerk
Wartehalle SH 21m Fahrradstaender;Bahnsteig,Bahnsteigdach
AKI Bodan Typ1a 30m;Bahnsteig,Bahnsteigdach,Bodan
AKI EG;Empfangsgebäude,FassadeZiegel,DachGrau
AKI Karstensen;Industrie,Halle,FassadeBlau
BUE-Posten-35-291;Schrankenposten
Bahnsteigdach;Bahnsteig,Bahnsteigdach
Bruecke-Ehlershausen-gross;Brücke,Straßenbrücke,Betonbrücke
Bruecke-Ehlershausen;Brücke,Straßenbrücke,Betonbrücke
Bushaltestelle;Bus,Bushaltestelle
Ehlershausen-EG;Empfangsgebäude,FassadeGrau,DachSchwarz
Fahrkartenentwerter-GVH;Fahrkartenentwerter
Lautsprecher eckig blau Mastmontage;Bahnsteig,Lautsprecher
Penny-Supermarkt;Supermarkt
Schaltkasten-Flach;Trafostation
Stellwerk-EF;Stellwerk
Streusalzbehaelter;Bahnsteig,Streugutkiste
Unterstand;Bahnsteig,Wartehaus
Zugzielanzeiger-Mast;Bahnsteig,Zugzielanzeiger
Bahnsteigdach-Quadratisch;Bahnsteig,Bahnsteigdach
Bruecke-27-621;Brücke,Betonbrücke,Straßenbrücke
Brueckenstuetze;Brücke,Pfeiler
Fahrradunterstand;Bahnsteig,Bahnsteigdach
Gelaender-Bahnsteig-2;Treppe,Rampe
Gelaender-Bahnsteig;Treppe,Rampe
Holzgelaender-10m;Zaun
Holzgelaender-50m;Zaun
Schallschutz 4Feld Versatz1FeldV1;Lärmschutz
Schallschutz Otze 4Feld9fachV1;Lärmschutz
Schallschutz Otze 4Feld9fachV2;Lärmschutz
Bahnsteig-Gelaender-Aligse;Treppe,Rampe
Bahnsteigdach;Bahnsteig,Bahnsteigdach
Brgdf Gbf Laeuferwegbruecke;Brücke,Fußgängerbrücke
Burgdorf-EG;Empfangsgebäude
Burgdorf-Parkhaus;Parkhaus
Burgdorf-Raiffeisen;Raiffeisen,Silo
Fahne-Deutschland;Flagge,Fahne
Haus-Theodorstrasse-2;Einfamilienhaus,FassadeFachwerk,DachSchwarz
Haus-Theodorstrasse;Mehrfamilienhaus,FassadeFachwerk,DachSchwarz
Mauerwerkswand-Mauer;Bahnsteig,Bahnsteigdach
Putzhaus;Zweifamilienhaus,FassadeGrau,FassadeWeiss,DachSchwarz
Rolandstrasse-Haus;Mehrfamilienhaus,Gewerbe,FassadeWeiss,DachSchwarz
Schallschutz gruen 4Feld Aussparung1Feld;Lärmschutz
Schallschutz gruen 4Feld V1;Lärmschutz
Schallschutz weiss 4Feld V1;Lärmschutz
Schuppen-2-Aglise;Schuppen,Industrie,Güterschuppen,FassadeZiegel
Schuppen-Aglise;Güterschuppen,FassadeFachwerk
Tankstelle-Raiffeisen;Tankstelle
Unterfuehrung;Treppe,Rampe
Verkehrsspiegel;Straße,Verkehrsspiegel
Waschanlage;Waschanlage,Industrie
Wellblech weiss;Lärmschutz
LehrteOst DoenmezMaschbau;Industrie
LehrteOst Haus2;Einfamilienhaus,FassadeHolz,DachRot,DachBraun
LehrteOst IboBaumarkt;Baumarkt
LehrteOst Igefa;Industrie
LehrteOst KrBw1730 01;Überwerfungsbauwerk
LehrteOst KrBw1730 02;Überwerfungsbauwerk
LehrteOst KrBw1730 03;Überwerfungsbauwerk
LehrteOst Lagerhalle01;Industrie
LehrteOst Lagerhalle02;Industrie,Halle,FassadeGrün
LehrteOst Logistikzentrum;Industrie
LehrteOst PundS Tapetenlogistik;Industrie
LehrteOst StreyDreherei;Industrie
LehrteOst Trockenlager;Industrie
LehrteOst Whnblck;Mehrfamilienhaus,Stadthaus,DachSchwarz,FassadeWeiss
LehrteOst Whnhs01;Einfamilienhaus,FassadeZiegel,DachSchwarz
LehrteOst vdosterholze Halle1;Industrie,Halle,DachRot
LehrteOst vdosterholze Haus1;Einfamilienhaus,FassadeZiegel,DachRot,DachBraun
Lehrte Wasserturm;Wasserturm
TrinkGut;Supermarkt,Getränkemarkt
Abfalltonne Restmuell;Abfalleimer
Aufzug Glas TypA Schoenfeld;Aufzug
Lehrte-Altes-Stellwerk;Stellwerk
LehrteBw Lokleitung;Büro,Verwaltung,FassadeZiegel,DachSchwarz,Walmdach
LehrteGbf AufsichtWestgruppe;Bahnbude
LehrtePbf Bnstg12;Bahnsteig,Bahnsteigdach
LehrtePbf Bnstg1314;Bahnsteig,Bahnsteigdach
LehrtePbf Bnstg23;Bahnsteig,Bahnsteigdach
LehrtePbf Bunker;Bunker,Bahnbude
LehrtePbf EG;Empfangsgebäude
LehrtePbf Lift Gl2 3;Aufzug
LehrtePbf Reisezentrum;Empfangsgebäude
LehrtePostbank;Post
LehrteVoba;Volksbank,Büro,Verwaltung
LehrteW Whnhs Ziegenbocksweg;Mehrfamilienhaus,FassadeZiegel,DachBraun
LehrteWest02 Stw Lf;Stellwerk
LehrteWest10 Lokhalle;Lokschuppen
Lehrte Casino;Spielhalle,FassadeZiegel
Lehrte Nordaufsicht;Bahnbude
Lehrte Puderzuckersilo;Industrie,Silo
Lehrte Rathaus;Verwaltung
Schaukasten Fpl gross 2x 1-seitig;Bahnsteig,Schaukasten,Fahrplanaushang
Schaukasten Fpl klein 1-seitig;Bahnsteig,Schaukasten,Fahrplanaushang
Schaukasten Fpl klein 2x 1-seitig;Bahnsteig,Schaukasten,Fahrplanaushang
Schaukasten GVH;Bahnsteig,Schaukasten,Fahrplanaushang
Snackautomat versifft;Bahnsteig,Automat
ANB Gehlsen Haupthalle;Industrie
AWLA ALDI Nachfolger;Apotheke,Supermarkt
AWLA AZS-Beladerampe;Laderampe
AWLA AZS-Entladerampe;Laderampe
AWLA AZS Buero;Büro,Verwaltung,FassadeZiegel
AWLA AZS WC;Toilette
AWLA BM;Büro,Verwaltung,FassadeZiegel,DachSchwarz
AWLA Bahnsteigdach Segment A;Bahnsteig,Bahnsteigdach
AWLA Bahnsteigdach Segment B;Bahnsteig,Bahnsteigdach
AWLA Bahnsteigdach Segment BS;Bahnsteig,Bahnsteigdach
AWLA Bahnsteigdach Segment C;Bahnsteig,Bahnsteigdach
AWLA Bahnsteigdach Segment CS;Bahnsteig,Bahnsteigdach
AWLA Bahnsteigdach Segment D;Bahnsteig,Bahnsteigdach
AWLA Bahnsteigdach Stuetze;Bahnsteig,Bahnsteigdach
AWLA Bahnsteigdach Stuetze Galgen;Bahnsteig,Bahnsteigdach
AWLA Blitzer;Radarfalle
AWLA DBV Sozialgebaeude;Container,Bürocontainer
AWLA DBV Wagenmeister;Container,Bürocontainer
AWLA Drehscheibe 23m;Drehscheibe
AWLA EG;Empfangsgebäude
AWLA FIA Bstg1;Zugzielanzeiger
AWLA FIA Bstg2;Zugzielanzeiger
AWLA FIA Galgen;Zugzielanzeiger
AWLA FIA Uhr;Uhr,Bahnhofsuhr
AWLA Fahrradverleih;Fahrradstation,FassadeZiegel,DachSchwarz
AWLA Fgbruecke;Brücke,Fußgängerbrücke
AWLA Flugplatz Antenne;Funkturm
AWLA Ga;Güterschuppen,Güterabfertigung
AWLA Haus Am Meer;Hochhaus,Kulisse
AWLA Hotel Metropol;Hochhaus,Kulisse
AWLA Ipsen;Industrie
AWLA Kantine;Restaurant
AWLA Keitumer Chaussee 12;Industrie
AWLA Keitumer Chaussee 20;Mehrfamilienhaus,FassadeZiegel,DachRot,DachBraun
AWLA Kirchenweg 11;Büro,Verwaltung,FassadeWeiss,DachGrau
AWLA Kirchenweg 9;Einfamilienhaus,Gewerbe,FassadeGelb,DachSchwarz
AWLA Kirchweg 17;Mehrfamilienhaus,FassadeGrau,DachGrau,MitBalkon
AWLA LIDL;Supermarkt
AWLA LIDL Rampe;Rampe,Laderampe
AWLA Lager NVAG;Industrie,GrundrissDreieck
AWLA Lokschuppen;Lokschuppen
AWLA Parkhaus;Parkhaus
AWLA Po236;Schrankenposten
AWLA Reklame Butterschiff;Reklame
AWLA Reklame Butterschiff beidseitig;Reklame
AWLA Reklame CA  beidseitig;Reklame
AWLA Reklame CA;Reklame
AWLA Reklame Gesabbel;Reklame
AWLA Sozialgebaeude BW;Büro,Verwaltung,FassadeZiegel
AWLA St Nicolai;Kirche
AWLA Stw Wla;Stellwerk
AWLA Tankgleis As Aral;Tankanlage
AWLA Tankgleis As Esso;Tankanlage
AWLA Tankgleis Tanks1;Tankanlage,Tank
AWLA Tinnum Rhs 1 Klinker;Zweifamilienhaus,Doppelhaus,MitGarage,FassadeZiegel,DachSchwarz
AWLA Tinnum Rhs 2 Klinker;Zweifamilienhaus,Doppelhaus,MitGarage,FassadeZiegel,DachSchwarz
AWLA Tinnum Rhs 2 Putz;Zweifamilienhaus,Doppelhaus,MitGarage,FassadeWeiss,DachSchwarz
AWLA Tinnum Rhs 3 Putz;Zweifamilienhaus,Doppelhaus,MitGarage,FassadeWeiss,DachSchwarz
AWLA Tinnum Rhs 4 Klinker;Zweifamilienhaus,Doppelhaus,MitGarage,FassadeZiegel,DachSchwarz
AWLA TrafoTinnum;Trafostation,FassadeZiegel,Schuppen
AWLA Trafogeb;Trafostation,FassadeZiegel
AWLA Vordach;Restaurant
AWLA Wandmaker;Industrie,Baumarkt
AWLA Wasserturm;Wasserturm
AWLA Wilhelmstr 6;Hochhaus,Hotel
AWLA Wilhelmstr Apotheke;Hochhaus,Gewerbe
AWLA Woolworth;Supermarkt
AWLA ZOB Fahrradstaender;Fahrradständer
AWLA ZOB Zaun 1-5m;Zaun
AWLA ZOB Zaun 1-5m Anbau;Zaun
Drehscheibengraben 23m 6Grad;Drehscheibe
FMT 10-73 Westerland;Funkturm,Typenturm,FMT10
Raster22 Wartehaus 4-feldrig Streifen Holzbank;Wartehaus,Bahnsteig
Reetdachhaus Sylt 18x9 01;Einfamilienhaus,FassadeWeiss,DachReet
Reetdachhaus Sylt 18x9 02;Einfamilienhaus,FassadeWeiss,DachReet
Schild Motor aus;Schild
Schild Motor aus Pfosten;Schild
Schild Pruefmagnet;Schild
Warnstreifen;Schild
Werbeuhr;Uhr
ZOB Buero;Büro,Verwaltung
Zusatzschild Ne5 AZS 1Tfz;Schild
Zusatzschild Ne5 AZS 2Tfz;Schild
Zusatzschild Ne5 AZS VT;Schild
Theuern01 Portalhaube Nord;Tunnel,Tunnelportal,Portalhaube
Theuern01 Portalhaube Sued;Tunnel,Tunnelportal,Portalhaube
Theuern02 Bruecke;Brücke,Betonbrücke,Straßenbrücke
Theuern03 Widerlager KH 1m70;Brücke,Widerlager
Theuern04 Bogen;Brücke,Brückenbogen,Betonbrücke
Theuern04 Kaempferpfeiler;Brücke,Pfeiler
Theuern04 Widerlager KH 2m40;Brücke,Widerlager
Theuern05 Bogen;Brücke,Betonbrücke,Brückenbogen
Theuern05 Widerlager KH 2m70;Brücke,Widerlager
Theuern06 Bogen;Brücke,Betonbrücke,Brückenbogen
Theuern07 Aussichtspunkt;Aussichtsplattform
Massetal01 Bogen1;Brücke,Betonbrücke,Brückenbogen
Massetal01 Bogen2;Brücke,Betonbrücke,Brückenbogen
Massetal01 Bogen3;Brücke,Betonbrücke,Brückenbogen
Massetal01 Widerlager KH 5m00;Brücke,Widerlager
Massetal02 Sonic-Boom-Bauwerk Nord;Tunnel,Tunnelportal,Portalhaube
Massetal02 Sonic-Boom-Bauwerk Sued;Tunnel,Tunnelportal,Portalhaube
Massetal03 Lohmeberg Suedportal;Tunnel,Tunnelportal
Massetal04 Bogen;Brücke,Betonbrücke,Brückenbogen
Massetal04 Widerlager KH 3m60;Brücke,Widerlager
Massetal05 Bogen;Brücke,Betonbrücke,Brückenbogen
Wolfsberg01 ESTW;Stellwerk,ESTW-A,ESTW
Wolfsberg02 Unterwerk K8;Unterwerk,Trafostation,FassadeGelb
Wolfsberg03 A-Bock;Brücke,Betonbrücke,Brückenbogen
Wolfsberg03 Pfeiler;Brücke,Pfeiler
Wolfsberg03 Regel-Einfeldtraeger 44m;Brücke,Betonbrücke
Wolfsberg03 Widerlager;Brücke,Widerlager
Wolfsberg05 Regel-Einfeldtraeger 58m;Brücke,Betonbrücke
Wolfsberg06 Wipfrabahnbruecke;Brücke,Stahlbrücke,Stahlfachwerkbrücke
Eisch03 Brueckenbogen;Brücke,Betonbrücke,Brückenbogen
Augustaburg Pfeiler;Stützmauer
Bisch01 EG;Empfangsgebäude
Bisch02 Gerabogenbruecke;Brücke,Stahlbrücke,Stahlbogenbrücke,Stabbogenbrücke,S-STB
Bisch04 Bstg Zugang;Bahnsteig,Bahnsteigabgang
Anbau;Empfangsgebäude,Industrie,Kulisse
EG-UE;Empfangsgebäude
ErfurtPbf03 Hochhaus JGR1;Hochhaus,Plattenbau
ErfurtPbf04 TVT;Lokschuppen
ErfurtPbf05 Kulissenhaus 121;Mehrfamilienhaus,Stadthaus,FassadeZiegel,DachBraun,DachRot
FahrstuhlErfurt;Aufzug
Halle;Bahnhofshalle
HausHaende;Mehrfamilienhaus,Stadthaus,FassadeWeiss,DachBraun
HausIndianer;Mehrfamilienhaus,Stadthaus,FassadeWeiss,DachBraun
IC;Hotel
K-Schu;Büro,Verwaltung
Mini;Büro,Verwaltung
RBD;Büro,Verwaltung
Re4;Mehrfamilienhaus,Hotel,FassadeBeige,DachSchwarz,Stadthaus
SP;Büro,Verwaltung,Kulisse
Villa2a;Kulisse,FassadeFachwerk,DachSchwarz
KDAT01 Spinflow;Industrie
KDAT02 Treppe;Treppe
KDAT02 Untergang;Treppe,Bahnsteigabgang
KDAT03 EG;Empfangsgebäude
KDAT04 LH Koepke;Gasthaus
KROS01 Gueterschuppen a;Schuppen
KROS01 Gueterschuppen b;Industrie
KROS02 Restaurant Janni;Restaurant
KROS03 RewePetz;Supermarkt,REWE
KROS04 DB Wartehaus;Bahnsteig,Pluspunkt
KROS05 Wartehaus;Bahnsteig,Wartehaus
KROS07 EvKirche;Kirche
KROS09 1aJugendtreff;Treff
KROS10 HochuWeg;Industrie,FassadeBlau,DachSchwarz
KROS11 MetternichArena;Sport,Sportplatz
KROS12 ArenaEintritt;Sport,Sportplatz
KROS13 WHaus K;Mehrfamilienhaus,FassadeGrau,FassadeBlau,DachSchwarz
KROS14 WHaus K;Mehrfamilienhaus,FassadeSchiefer,DachSchwarz
KROS15 WHaus K;Einfamilienhaus,FassadeSchiefer,DachSchwarz
KROS16 Bruecke km 61 1a;Brücke,Widerlager
KROS16 Bruecke km 61 1b;Brücke,Widerlager
KSLA01 FDL;Stellwerk
KSLA02 EG;Empfangsgebäude
KSLA03 Bruecke km 58 8;Brücke,Steinbrücke
KSLA03 Bruecke km 60 0;Brücke,Betonbrücke
KSLA05 Durchlass;Durchlass
KSLA06 Treppe01;Treppe
KSLA06 Treppe02;Treppe
KSLA09 Treppe03;Treppe
KSLA10 HC;Industrie
KSLA12 Brueckenpfeiler km 59 4;Brücke,Pfeiler
KSLA12 Flachmast 11m0;Fahrleitung
KSLA12 Seitenhalter km 59 4;Brücke
KHEC01 Unterwerk;Unterwerk,Trafostation
KHEC02 Zooshop;Einfamilienhaus,FassadeBeige,DachSchwarz,Gewerbe
KHEC03 EHelmut;Einfamilienhaus,FassadeBeige,DachSchwarz,Gewerbe
KHEC04 Scheune;Scheune,Bauernhof
KHEC05 Haus;Zweifamilienhaus,FassadeBeige,DachBraun,MitGarage
KHEC06 Kneipe;Gaststätte,FassadWeiss,DachSchwarz
KHEC07 MHaus;Mehrfamilienhaus,FassadeGelb,DachSchwarz
KHEC08 ExTankst;Tankstelle
KHEC09 GHaus;Einfamilienhaus,FassadeWeiss,DachSchwarz
KHEC10 Restaurant;Gaststätte,FassadeFachwerk,FassadeBeige,DachSchwarz
KHEC11 WFachw;Mehrfamilienhaus,FassadeFachwerk,DachSchwarz
KHEC12 FHaus;Einfamilienhaus,FassadeWeiss,DachSchwarz
KHEC13 AbrissHaus;Ruine,FassadeWeiss,DachSchwarz
KHEC14 Werkstatt;Industrie
KHEC15 VRSFahrschein;Fahrscheinautomat
KHEC16 Batterieanlage;Schuppen,Notstrom
KHEC17 Infosaeule;Bahnsteig
KHEC18 Information;Bahnsteig,Fahrplanaushang
KHEC27 Herchen Parkplatz A;Parkplatz
KHEC22 Bruecke WL 47 3;Brücke,Widerlager
KHEC22 Brueckenpfeiler 47 3;Brücke,Pfeiler
KHEC22 Brueckenpfeiler 47 3 mMasthalter;Brücke,Pfeiler
KHEC22 Flachmast 11m0;Fahrleitung
KHEC22 Seitenhalter 47 3;Brücke
KHEC23 Brueckenpfeiler 52 4;Brücke,Pfeiler
KHEC24 Herchen EG;Empfangsgebäude
KHEC25 Herchen Bstgdach;Bahnsteig,Bahnsteigdach
KHEC28 Herchen Treppe Ost;Bahnsteig,Bahnsteigzugang
KHEC28 Herchen Treppe West;Bahnsteig,Bahnsteigzugang
KHEC32 Betonpfeiler km52 2;Brücke,Pfeiler
KHEC32 Bruecke km52 2;Brücke,Stahlfachwerkbrücke,SKR-Brücke
KEIT01 Fahrradbox;Fahrradbox,Schließfach
KEIT02 FDL;Stellwerk
KEIT03 EG;Empfangsgebäude,FassadeZiegel
KEIT03 KreM a;Büro,Verwaltung
KEIT03 KreM b;Büro,Verwaltung,Stadthaus
KEIT03 KreM c;Industrie
KEIT05 Vereinhaus;Schuppen,Sportplatz,FassadeHolz
KEIT06 Langel;Industrie
KEIT06 Langel Buero;Industrie,Büro
KEIT07 Wollenwerk Lager A;Industrie
KEIT07 Wollenwerk Lager B;Industrie
KEIT07 Wollenwerk Lager C;Industrie
KEIT07 Wollenwerk Verkauf;Industrie
KEIT07 Wollenwerk Werk A;Industrie
KEIT07 Wollenwerk Werk B;Industrie
KEIT08 Jobcenter;Büro,Verwaltung,FassadeGrün,DachSchwarz
KEIT09 ZF BKK;Büro
KEIT10 MoFa Stellplatz;Dach
KEIT11 Sachs;Industrie
KEIT11 ZF Bruecke;Gebäudeverbindung
KEIT11 ZF Buero;Industrie
KEIT11 ZF Empfang;Industrie
KEIT11 ZF Werk A;Industrie
KEIT11 ZF Werk B;Industrie
KEIT12 Weco Buero;Industrie
KEIT12 Weco Kantine;Industrie
KEIT12 Weco Verwaltung;Industrie,Büro
KEIT13 Umspannungswerk;Umspannwerk
KEIT14 Biostation;Güterschuppen
KEIT15 Feuerwache;Feuerwehr,FassadeBruchstein,DachSchwarz
KEIT15 Feuerwache Garage;Feuerwehr
KEIT16 Parkplatz Bogenstr;Parkplatz
KEIT17 Viehof;Mehrfamilienhaus,Stadthaus,Gewerbe,GrundrissDreieck,FassadeGrau,DachSchwarz
KEIT18 WH 80;Mehrfamilienhaus,FassadeZiegel,DachSchwarz
KEIT19 ARAL;Tankstelle
KEIT20 Theater;Theater,Kino,DachSchwarz
KEIT21 Secundarschule;Schule,Büro,Verwaltung
KEIT22 HotRoad;Schuppen
KEIT23 Sparkasse;Sparkasse,Bank
KEIT24 KITA;Schule
KEIT25 Durchlass;Durchlass
KEIT26 Lagerhalle;Industrie
KEIT27 Eul Autolackiererei;Industrie
KEIT28 AN2;Flugzeug
KEIT28 FELD;Industrie
KEIT29 WH 108;Einfamilienhaus,FassadeGelb,DachSchwarz,MitGarage
KEIT30 Unterfuehrung Fuhrweg;Brücke,Unterführung
KEIT31 WH 1910;Mehrfamilienhaus,FassadeWeiss,DachSchwarz
KEIT32 WH 4;Einfamilienhaus,FassadeWeiss,DachSchwarz,MitGarten
KEIT33 WH 32;Mehrfamilienhaus,FassadeZiegel,DachSchwarz
KEIT34 WH 30;Zweifamilienhaus,FassadeGelb,DachSchwarz
KEIT35 WH 28;Mehrfamilienhaus,FassadeGrau,DachSchwarz,MitGarage
KEIT36 WH 16;Mehrfamilienhaus,FassadeWeiss,DachSchwarz
KEIT37 WH 14;Einfamilienhaus,FassadeWeiss,FassadeFachwerk,DachSchwarz
KEIT38 WH 12;Mehrfamilienhaus,FassadeGrau,DachSchwarz
KEIT39 WH 40;Einfamilienhaus,MitGarage,FassadeGrau,DachSchwarz
KEIT40 WH 74;Einfamilienhaus,FassadeGrau,DachSchwarz
KEIT41 WH 76;Einfamilienhaus,MitGarage,FassadeBeige,DachBraun
KEIT42 WH 78;Einfamilienhaus,FassadeGelb,DachSchwarz,MitGarage
KEIT43 Gueldenring;Industrie
KEIT43 Gueldenring Werk;Industrie
KEIT44 Hochbau;Industrie
KEIT45 Siegbruecke;Brücke,Straßenbrücke
KEIT45 Siegbruecke Pfeiler;Pfeiler,Brücke
KEIT46 WH 120;FassadeWeiss,DachSchwarz,Mehrfamilienhaus
KEIT47 WH 121;Mehrfamilienhaus,FassadeWeiss,FassadeGelb,DachSchwarz
KEIT48 Biergarten;Gaststätte,FassadeFachwerk,DachSchwarz
KEIT49 WH Har 19;Mehrfamilienhaus,Gewerbe,DachSchwarz,FassadeGrau
KEIT50 Schreinerei Abbruch;Eckhaus,Gewerbe,FassadeGelb,DachSchwarz
KEIT51 Rest Harmonie Abbruch;Restaurant
KEIT52 WH Har 26;Mehrfamilienhaus,FassadeGelb,DachSchwarz,MitGarten
KEIT53 WH Har 21;Zweifamilienhaus,MitGarage,MitGarten,FassadeWeiss,DachSchwarz
KEIT54 KG Sand 19;Schuppen,Photovoltaik,Solar
KEIT55 WH Sand 17;Zweifamilienhaus,FassadeRosa,MitGarage,DachSchwarz
KEIT56 WH Sand 13;Mehrfamilienhaus,FassadeZiegel,DachSchwarz
KEIT57 WH Sand 15;Einfamilienhaus,MitGarage,MitBalkon,FassadeZiegel,DachSchwarz
